Group 1,Group 2,H,p-value,q-value
Agri (n=1),Center (n=3),1.8000000000000007,0.17971249487899588,0.4759657617943667
Agri (n=1),Resid (n=2),1.5,0.22067136191984324,0.4759657617943667
Agri (n=1),Tilap (n=1),1.0,0.31731050786291115,0.4759657617943667
Agri (n=1),Tipal (n=1),1.0,0.31731050786291115,0.4759657617943667
Agri (n=1),Tribu (n=3),0.1999999999999993,0.6547208460185774,0.6547208460185774
Center (n=3),Resid (n=2),1.3333333333333321,0.2482130789899204,0.4759657617943667
Center (n=3),Tilap (n=1),1.8000000000000007,0.17971249487899588,0.4759657617943667
Center (n=3),Tipal (n=1),0.1999999999999993,0.6547208460185774,0.6547208460185774
Center (n=3),Tribu (n=3),0.42857142857142705,0.5126907602619241,0.6547208460185774
Resid (n=2),Tilap (n=1),1.5,0.22067136191984324,0.4759657617943667
Resid (n=2),Tipal (n=1),1.5,0.22067136191984324,0.4759657617943667
Resid (n=2),Tribu (n=3),0.3333333333333357,0.5637028616507718,0.6547208460185774
Tilap (n=1),Tipal (n=1),1.0,0.31731050786291115,0.4759657617943667
Tilap (n=1),Tribu (n=3),1.8000000000000007,0.17971249487899588,0.4759657617943667
Tipal (n=1),Tribu (n=3),0.1999999999999993,0.6547208460185774,0.6547208460185774
